County,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Holmes,21591,21966,22267,22532,22824,23088,23343,23416,23480,23414,23024,24000,25100,25700,26600,27400,27900,28600,29500,29600,29416,29775,30273,30756,30733,31065,31431,31766,32131,32719,32849,33399,33822,34497,35324,36326,37005,37576,38173,38594,38943,39805,40475,40844,41370,41630,41828,41826,42029,42275,42366
Huron,47326,48246,48983,49741,50386,51062,51667,51961,52153,52170,49587,50500,51400,52200,52400,53700,53400,53900,54400,54600,54608,54704,54355,54324,54701,54472,55222,55596,55801,56025,56238,56932,57152,57212,57487,58030,58667,59050,59133,59266,59487,59620,59917,59947,60011,60116,60113,60086,60121,59754,59626
Jackson,29372,29520,29537,29556,29547,29473,29352,29475,29577,29542,27174,27100,27700,28700,28800,29400,30100,30100,30100,30300,30592,30280,30477,30693,30381,30376,30200,30323,29935,30173,30230,30721,31239,31544,31852,31934,32241,32388,32558,32638,32641,32670,32846,32880,33025,33242,33135,33144,33164,33115,33225
Jefferson,99201,99334,99355,99220,98932,98603,98742,99553,99685,99343,96193,97100,96300,95800,94400,94800,93800,93200,92500,91000,91564,90048,89547,87354,86096,84980,83261,81930,81473,81085,80298,79968,79589,79371,78942,78630,77668,76735,75370,74546,73894,73043,72416,72122,71774,71251,70656,70114,69989,69833,69709
Knox,38808,39185,39415,39673,39881,40113,40316,40430,40729,40854,41795,41900,42900,43200,43800,44500,44400,45300,46300,46700,46304,46398,46706,46662,46537,46675,46536,46630,46826,47136,47473,47894,48662,49284,50079,51094,51990,52832,53543,54061,54500,55460,56377,57232,57995,58641,59194,59843,60348,60633,60921
Lake,148700,158682,166398,174252,181972,189519,197026,198346,199124,194022,197200,198100,198200,201700,203400,209300,209800,210000,211200,212500,212801,214021,214281,214471,214952,213641,213039,213350,213640,214747,215500,218236,220473,222060,223030,224790,226395,227046,227687,227605,227511,227648,227747,227232,227829,227647,228203,228930,229904,229954,230041
Lawrence,55438,56130,56681,57115,57629,58104,58528,58768,59171,59275,56868,58400,60300,59900,60100,59100,61300,61900,62400,63100,63849,63173,63309,63513,63209,62742,62303,62178,62111,61634,61834,62053,62431,62855,62853,62858,62821,62900,62800,62523,62319,61965,61847,62197,62169,62476,62798,62748,62640,62667,62450
Licking,90242,92857,94847,96902,99128,101091,102643,105615,107396,108361,107799,109800,110700,110900,112300,115600,115200,116300,118700,120000,120981,122475,123336,123737,123919,124394,124378,124978,125945,126738,128300,130696,131967,133691,135205,136880,133975,135686,141393,143697,145491,148226,150061,152582,155264,157950,160263,162375,163916,165283,166492
Logan,34803,35211,35495,35758,35944,36092,36240,36327,36417,36219,35072,35800,36400,37000,37200,38100,38200,38400,38800,38800,39155,39452,39306,39451,39816,40028,40535,41321,41806,42091,42310,43023,43537,44065,44215,44700,44926,45302,45698,46063,46005,45865,46089,46257,46247,46066,45902,46154,46115,46055,45858
Lorain,217500,226711,233954,240969,247902,254680,261295,264024,264902,264713,256843,259100,260700,264900,268100,268500,265100,270900,275800,273000,274909,273173,271800,269616,268724,268298,267400,267931,268431,270225,271126,273893,276174,278090,279752,281085,282321,283518,283428,283364,284664,285827,287489,290622,292125,294873,297259,298609,299814,300893,301356
Lucas,456931,464151,469614,474667,479238,483021,486926,488206,489122,487921,483551,487200,488400,488500,486000,485200,478200,474700,469500,471500,471741,470193,468648,466029,463874,462841,463868,464107,465954,464013,462361,462292,462571,461355,460509,458890,458018,457718,456745,455515,455054,454855,454240,453778,451255,449224,446769,445482,443909,442603,441815
Madison,26454,27046,27472,27893,28259,28640,28956,29226,29483,29518,28318,28900,29400,28300,30800,32400,32100,32000,32200,32500,33004,33595,33879,34489,34278,34628,34849,35313,36248,37036,37078,37749,38624,39209,39907,40326,40412,40086,40334,40299,40213,40256,40539,40879,41122,41292,41865,42392,43163,43353,43435
Mahoning,300480,305434,308705,311410,313755,315874,317682,318048,318287,316013,304545,306300,303800,302600,306300,289400,297600,297100,292600,289100,289487,284845,283178,280893,276914,274535,271333,268467,266069,265756,264806,265294,266478,266769,265877,264804,263696,262161,260812,259145,257555,255264,252998,251696,249825,247702,246112,243453,241572,240050,238823
Marion,60221,61528,62421,63428,64313,65270,66075,66751,66922,66948,64724,66300,66500,66500,67400,67900,67400,67000,66800,67100,67974,67619,67153,66766,66229,65553,64781,64621,64066,64307,64274,64232,64475,65033,67505,67783,67624,67507,67213,66533,66217,66156,66188,66372,66361,66468,66345,66487,66840,66497,66501
Medina,65315,68884,71638,74240,76806,78744,80407,80840,81005,80324,82717,84400,85200,90000,92900,96800,99100,103200,107900,111300,113150,114315,114977,115227,115439,115175,115310,116773,119307,120850,122354,125487,128402,131025,133839,136897,140052,142999,145578,149137,151095,154363,157502,160325,163048,164953,167298,168775,170330,171688,172332
Meigs,22159,22041,21876,21767,21615,21369,21152,21205,21251,21166,19799,20000,20200,21000,21300,21500,21900,22100,22300,22900,23641,23403,23661,23460,23280,23304,23182,23015,22811,22975,22987,23076,23213,23286,23347,23451,23333,23296,23161,23209,23072,23119,23305,23441,23506,23588,23586,23612,23534,23770,23770
Mercer,32559,32999,33303,33610,33935,34191,34431,34787,35009,35122,35558,35700,36600,37300,37600,38000,37700,38200,38300,38300,38334,38539,38369,38360,38343,38473,38449,38674,39045,39168,39443,39696,39868,40054,40341,40695,40776,40872,41025,40958,40924,40819,40843,40841,40889,40967,41063,41055,41022,40855,40814
Miami,72901,74458,75510,76543,77671,78619,79591,81302,82341,85040,84342,85500,86800,87900,87900,88500,88600,89000,89900,90400,90381,90844,90265,89692,89732,90014,90837,91386,92538,92871,93184,94025,94746,95608,96156,96629,96948,97687,98187,98587,98868,99300,99579,100120,100775,101564,102028,102130,102430,102526,102506
Monroe,15268,15317,15330,15366,15414,15454,15472,15570,15679,15813,15739,15700,15500,16000,15900,15900,16000,16300,16500,17100,17382,16901,16838,16697,16357,16237,15882,15788,15528,15564,15497,15379,15231,15269,15170,15196,15203,15167,15234,15233,15180,15107,15006,15048,15113,14943,14818,14774,14833,14742,14642
Montgomery,527080,543674,556080,568035,579702,590644,599435,600143,600747,600514,608413,604000,601400,591800,585100,583400,577400,570900,569200,571100,571697,570260,565803,563911,566943,568935,569689,572546,576663,574060,573809,576333,578604,578999,575200,573498,571942,568983,566715,561944,559062,555536,553170,551742,549713,546979,543620,540667,537664,535294,535153
Morgan,12747,12759,12669,12661,12597,12578,12565,12557,12610,12869,12375,13200,13600,13400,13300,13500,13500,13400,13600,13900,14241,13926,14137,14083,14053,14107,14021,14164,14207,14262,14194,14198,14362,14440,14569,14794,14794,14794,14828,14843,14897,14942,14917,14999,15130,15216,15189,15175,15104,15073,15054
Morrow,19405,19662,19871,20102,20365,20574,20759,20931,21074,21175,21348,22800,23600,24500,25200,26000,25900,26500,26700,27000,26480,26736,26606,26615,26722,26925,26840,27067,27261,27613,27749,27982,28317,28790,29164,29588,29864,30309,30623,31198,31628,32438,32955,33524,34025,34271,34561,34937,34877,34907,34827
Muskingum,79159,79622,80007,80256,80555,80725,80828,81063,81358,81417,77826,78800,80800,80900,80400,81900,82100,83100,83000,83200,83340,83329,83728,83259,83535,82976,82439,82486,82391,82143,82068,82081,82396,82882,83326,83797,83958,83990,84188,84388,84585,84789,85247,85418,85589,85696,86023,85939,85874,85779,86074
Noble,10982,10857,10730,10592,10454,10345,10230,10272,10282,10211,10428,10400,10700,10700,10800,11100,11200,11200,11200,11100,11310,11048,11170,11148,11118,11363,11369,11382,11191,11378,11336,11523,11537,11635,11634,11837,11823,14111,14334,14009,14058,13857,13931,14221,14352,14210,14616,14614,14653,14649,14645
