County,Year,Population
Hardin,1966,29649
Harrison,1966,16883
Henry,1966,27108
Highland,1966,30286
Hocking,1966,20482
Holmes,1966,23343
Huron,1966,51667
Jackson,1966,29352
Jefferson,1966,98742
Knox,1966,40316
Lake,1966,197026
Lawrence,1966,58528
Licking,1966,102643
Logan,1966,36240
Lorain,1966,261295
Lucas,1966,486926
Madison,1966,28956
Mahoning,1966,317682
Marion,1966,66075
Medina,1966,80407
Meigs,1966,21152
Mercer,1966,34431
Miami,1966,79591
Monroe,1966,15472
Montgomery,1966,599435
Morgan,1966,12565
Morrow,1966,20759
Muskingum,1966,80828
Noble,1966,10230
Ottawa,1966,38201
Paulding,1966,17755
Perry,1966,26878
Pickaway,1966,40605
Pike,1966,21780
Portage,1966,110312
Preble,1966,35641
Putnam,1966,30046
Richland,1966,113265
Ross,1966,65037
Sandusky,1966,61831
Scioto,1966,82344
Seneca,1966,62211
Shelby,1966,36537
Stark,1966,369378
Summit,1966,569476
Trumbull,1966,236343
Tuscarawas,1966,79244
Union,1966,23933
Van Wert,1966,29042
Vinton,1966,9671
Warren,1966,83876
Washington,1966,55898
Wayne,1966,85667
Williams,1966,32075
Wood,1966,80481
Wyandot,1966,22332
Ohio,1967,10749221
Adams,1967,19227
Allen,1967,113214
Ashland,1967,42118
Ashtabula,1967,101368
Athens,1967,48847
Auglaize,1967,39340
Belmont,1967,79622
Brown,1967,27093
Butler,1967,228325
Carroll,1967,21768
Champaign,1967,31230
Clark,1967,145218
Clermont,1967,105513
Clinton,1967,33078
Columbiana,1967,109218
Coshocton,1967,33174
Crawford,1967,52564
Cuyahoga,1967,1773954
Darke,1967,48210
Defiance,1967,35444
Delaware,1967,39974
Erie,1967,78495
Fairfield,1967,72266
Fayette,1967,26026
Franklin,1967,808523
Fulton,1967,31683
Gallia,1967,26789
Geauga,1967,61862
Greene,1967,118673
Guernsey,1967,38485
Hamilton,1967,949876
Hancock,1967,60244
Hardin,1967,29988
Harrison,1967,17051
Henry,1967,27239
Highland,1967,30406
Hocking,1967,20612
Holmes,1967,23416
Huron,1967,51961
Jackson,1967,29475
Jefferson,1967,99553
Knox,1967,40430
Lake,1967,198346
Lawrence,1967,58768
Licking,1967,105615
Logan,1967,36327
Lorain,1967,264024
Lucas,1967,488206
Madison,1967,29226
Mahoning,1967,318048
Marion,1967,66751
Medina,1967,80840
Meigs,1967,21205
Mercer,1967,34787
Miami,1967,81302
Monroe,1967,15570
Montgomery,1967,600143
Morgan,1967,12557
Morrow,1967,20931
Muskingum,1967,81063
Noble,1967,10272
Ottawa,1967,38403
Paulding,1967,18106
Perry,1967,27082
Pickaway,1967,41239
Pike,1967,21738
Portage,1967,113095
Preble,1967,36023
Putnam,1967,30272
Richland,1967,133974
Ross,1967,65427
Sandusky,1967,62430
Scioto,1967,83018
Seneca,1967,62503
Shelby,1967,37003
Stark,1967,370456
Summit,1967,569817
Trumbull,1967,237215
Tuscarawas,1967,79364
Union,1967,24034
Van Wert,1967,29143
Vinton,1967,9724
Warren,1967,85266
Washington,1967,56367
Wayne,1967,86482
Williams,1967,32203
Wood,1967,80889
Wyandot,1967,22415
Ohio,1968,10784388
Adams,1968,19461
Allen,1968,114213
Ashland,1968,42548
Ashtabula,1968,102051
Athens,1968,49274
Auglaize,1968,39619
Belmont,1968,79721
Brown,1968,27155
Butler,1968,228426
Carroll,1968,21810
Champaign,1968,31376
Clark,1968,146893
Clermont,1968,105618
Clinton,1968,33428
Columbiana,1968,109364
Coshocton,1968,33257
Crawford,1968,52788
Cuyahoga,1968,1774218
Darke,1968,48452
Defiance,1968,35632
Delaware,1968,40344
Erie,1968,78927
Fairfield,1968,73119
Fayette,1968,26195
Franklin,1968,814513
Fulton,1968,32016
Gallia,1968,26889
Geauga,1968,61998
Greene,1968,119136
Guernsey,1968,38557
Hamilton,1968,950451
Hancock,1968,61001
Hardin,1968,30345
Harrison,1968,17168
Henry,1968,27429
Highland,1968,30802
Hocking,1968,20764
Holmes,1968,23480
Huron,1968,52153
Jackson,1968,29577
Jefferson,1968,99685
Knox,1968,40729
Lake,1968,199124
Lawrence,1968,59171
Licking,1968,107396
Logan,1968,36417
Lorain,1968,264902
Lucas,1968,489122
Madison,1968,29483
Mahoning,1968,318287
Marion,1968,66922
Medina,1968,81005
Meigs,1968,21251
Mercer,1968,35009
Miami,1968,82341
Monroe,1968,15679
Montgomery,1968,600747
Morgan,1968,12610
Morrow,1968,21074
Muskingum,1968,81358
Noble,1968,10282
Ottawa,1968,38471
Paulding,1968,18260
Perry,1968,27350
Pickaway,1968,41649
Pike,1968,21690
Portage,1968,113816
Preble,1968,36891
Putnam,1968,30477
Richland,1968,134112
Ross,1968,65582
Sandusky,1968,62586
Scioto,1968,83329
Seneca,1968,62681
Shelby,1968,37603
Stark,1968,370824
Summit,1968,570085
Trumbull,1968,237595
Tuscarawas,1968,79645
Union,1968,24204
Van Wert,1968,29121
Vinton,1968,9654
Warren,1968,85888
Washington,1968,56906
Wayne,1968,87332
Williams,1968,32489
Wood,1968,80985
Wyandot,1968,22401
Ohio,1969,10790424
Adams,1969,19589
Allen,1969,114714
Ashland,1969,42603
Ashtabula,1969,102074
Athens,1969,58631
Auglaize,1969,39652
Belmont,1969,80847
Brown,1969,26940
Butler,1969,228469
Carroll,1969,21852
Champaign,1969,31436
Clark,1969,149728
Clermont,1969,105161
Clinton,1969,33634
Columbiana,1969,109018
Coshocton,1969,33345
Crawford,1969,52723
Cuyahoga,1969,1768022
Darke,1969,50355
Defiance,1969,35651
Delaware,1969,40565
Erie,1969,78962
Fairfield,1969,73178
Fayette,1969,26122
Franklin,1969,814729
Fulton,1969,32144
Gallia,1969,26866
Geauga,1969,62148
Greene,1969,120705
Guernsey,1969,38510
Hamilton,1969,945829
Hancock,1969,61905
Hardin,1969,30389
Harrison,1969,17183
Henry,1969,27505
Highland,1969,31026
Hocking,1969,20851
Holmes,1969,23414
Huron,1969,52170
Jackson,1969,29542
Jefferson,1969,99343
Knox,1969,40854
Lake,1969,194022
Lawrence,1969,59275
Licking,1969,108361
Logan,1969,36219
Lorain,1969,264713
Lucas,1969,487921
Madison,1969,29518
Mahoning,1969,316013
Marion,1969,66948
Medina,1969,80324
Meigs,1969,21166
Mercer,1969,35122
Miami,1969,85040
Monroe,1969,15813
Montgomery,1969,600514
Morgan,1969,12869
Morrow,1969,21175
Muskingum,1969,81417
Noble,1969,10211
Ottawa,1969,38326
Paulding,1969,18487
Perry,1969,27542
Pickaway,1969,41960
Pike,1969,21514
Portage,1969,118240
Preble,1969,36943
Putnam,1969,31113
Richland,1969,134516
Ross,1969,65467
Sandusky,1969,62314
Scioto,1969,83057
Seneca,1969,62388
Shelby,1969,37779
Stark,1969,369215
Summit,1969,569513
Trumbull,1969,236214
Tuscarawas,1969,79701
Union,1969,24297
Van Wert,1969,29147
Vinton,1969,9668
Warren,1969,85749
Washington,1969,57375
Wayne,1969,87483
Williams,1969,32641
Wood,1969,82692
Wyandot,1969,22058
Ohio,1970,10657423
Adams,1970,18957
Allen,1970,111144
Ashland,1970,43303
Ashtabula,1970,98237
Athens,1970,55747
Auglaize,1970,38602
Belmont,1970,80917
Brown,1970,26635
Butler,1970,226207
Carroll,1970,21579
Champaign,1970,30491
Clark,1970,157115
Clermont,1970,95372
Clinton,1970,31464
Columbiana,1970,108310
Coshocton,1970,33486
Crawford,1970,50364
Cuyahoga,1970,1720835
Darke,1970,49141
Defiance,1970,36949
Delaware,1970,42908
Erie,1970,75909
Fairfield,1970,73301
Fayette,1970,25461
Franklin,1970,833249
Fulton,1970,33071
Gallia,1970,25239
Geauga,1970,62977
Greene,1970,125057
Guernsey,1970,37665
Hamilton,1970,925944
Hancock,1970,61217
Hardin,1970,30813
Harrison,1970,17013
Henry,1970,27058
Highland,1970,28996
Hocking,1970,20322
Holmes,1970,23024
Huron,1970,49587
Jackson,1970,27174
Jefferson,1970,96193
Knox,1970,41795
Lake,1970,197200
Lawrence,1970,56868
Licking,1970,107799
Logan,1970,35072
Lorain,1970,256843
Lucas,1970,483551
Madison,1970,28318
Mahoning,1970,304545
Marion,1970,64724
Medina,1970,82717
Meigs,1970,19799
Mercer,1970,35558
Miami,1970,84342
Monroe,1970,15739
Montgomery,1970,608413
Morgan,1970,12375
Morrow,1970,21348
Muskingum,1970,77826
Noble,1970,10428
Ottawa,1970,37099
Paulding,1970,19329
Perry,1970,27434
Pickaway,1970,40071
Pike,1970,19114
Portage,1970,125868
Preble,1970,34719
Putnam,1970,31134
Richland,1970,129997
Ross,1970,61211
Sandusky,1970,60983
Scioto,1970,76951
Seneca,1970,60696
Shelby,1970,37748
Stark,1970,372210
Summit,1970,553371
Trumbull,1970,232579
Tuscarawas,1970,77211
Union,1970,23786
Van Wert,1970,29194
Vinton,1970,9420
Warren,1970,85505
Washington,1970,57160
Wayne,1970,87123
Williams,1970,33669
Wood,1970,89722
Wyandot,1970,21826
Ohio,1971,10735000
Adams,1971,19900
Allen,1971,111400
Ashland,1971,43200
Ashtabula,1971,100700
Athens,1971,57200
Auglaize,1971,39200
Belmont,1971,83400
Brown,1971,27700
Butler,1971,229300
Carroll,1971,22100
Champaign,1971,30900
Clark,1971,160000
Clermont,1971,98300
Clinton,1971,31800
Columbiana,1971,109700
Coshocton,1971,33900
Crawford,1971,51700
Cuyahoga,1971,1707600
Darke,1971,50200
Defiance,1971,37100
Delaware,1971,43600
Erie,1971,77300
Fairfield,1971,75300
Fayette,1971,25900
Franklin,1971,850900
Fulton,1971,34000
Gallia,1971,26200
Geauga,1971,63200
Greene,1971,126800
Guernsey,1971,39300
Hamilton,1971,922800
Hancock,1971,62000
Hardin,1971,30900
Harrison,1971,17200
Henry,1971,27500
Highland,1971,29800
Hocking,1971,20900
Holmes,1971,24000
Huron,1971,50500
Jackson,1971,27100
Jefferson,1971,97100
Knox,1971,41900
Lake,1971,198100
Lawrence,1971,58400
Licking,1971,109800
Logan,1971,35800
Lorain,1971,259100
Lucas,1971,487200
Madison,1971,28900
Mahoning,1971,306300
Marion,1971,66300
Medina,1971,84400
Meigs,1971,20000
Mercer,1971,35700
Miami,1971,85500
Monroe,1971,15700
Montgomery,1971,604000
Morgan,1971,13200
Morrow,1971,22800
Muskingum,1971,78800
Noble,1971,10400
Ottawa,1971,37700
Paulding,1971,19800
Perry,1971,28000
Pickaway,1971,41400
Pike,1971,19100
Portage,1971,128800
Preble,1971,35800
Putnam,1971,31700
Richland,1971,129400
Ross,1971,60900
Sandusky,1971,61000
Scioto,1971,77700
Seneca,1971,60800
Shelby,1971,37600
Stark,1971,374800
Summit,1971,550400
Trumbull,1971,235300
Tuscarawas,1971,78400
Union,1971,25200
Van Wert,1971,29100
Vinton,1971,9400
Warren,1971,86600
Washington,1971,58100
Wayne,1971,88400
Williams,1971,33800
Wood,1971,92600
Wyandot,1971,22500
Ohio,1972,10747000
Adams,1972,20700
Allen,1972,110600
Ashland,1972,43900
Ashtabula,1972,100800
Athens,1972,57500
Auglaize,1972,39500
Belmont,1972,83100
Brown,1972,28900
Butler,1972,232400
Carroll,1972,22500
Champaign,1972,31000
Clark,1972,157900
Clermont,1972,99400
Clinton,1972,32000
Columbiana,1972,110400
Coshocton,1972,34900
Crawford,1972,51400
Cuyahoga,1972,1670000
Darke,1972,51200
Defiance,1972,37200
Delaware,1972,44300
Erie,1972,77700
Fairfield,1972,76700
Fayette,1972,26800
Franklin,1972,857200
Fulton,1972,35200
Gallia,1972,26700
Geauga,1972,63500
Greene,1972,125700
Guernsey,1972,39700
Hamilton,1972,913900
Hancock,1972,62700
Hardin,1972,32100
Harrison,1972,17400
Henry,1972,28200
Highland,1972,30000
Hocking,1972,21500
Holmes,1972,25100
Huron,1972,51400
Jackson,1972,27700
Jefferson,1972,96300
Knox,1972,42900
Lake,1972,198200
Lawrence,1972,60300
Licking,1972,110700
Logan,1972,36400
Lorain,1972,260700
Lucas,1972,488400
Madison,1972,29400
Mahoning,1972,303800
Marion,1972,66500
Medina,1972,85200
Meigs,1972,20200
Mercer,1972,36600
