County,Year,Population
Columbiana,2003,111000
Coshocton,2003,37288
Crawford,2003,45928
Cuyahoga,2003,1359929
Darke,2003,53190
Defiance,2003,39209
Delaware,2003,133842
Erie,2003,78673
Fairfield,2003,132770
Fayette,2003,28450
Franklin,2003,1095250
Fulton,2003,42402
Gallia,2003,31095
Geauga,2003,93042
Greene,2003,153064
Guernsey,2003,41138
Hamilton,2003,825139
Hancock,2003,73118
Hardin,2003,31729
Harrison,2003,16002
Henry,2003,29021
Highland,2003,42269
Hocking,2003,28823
Holmes,2003,40844
Huron,2003,59947
Jackson,2003,32880
Jefferson,2003,72122
Knox,2003,57232
Lake,2003,227232
Lawrence,2003,62197
Licking,2003,152582
Logan,2003,46257
Lorain,2003,290622
Lucas,2003,453778
Madison,2003,40879
Mahoning,2003,251696
Marion,2003,66372
Medina,2003,160325
Meigs,2003,23441
Mercer,2003,40841
Miami,2003,100120
Monroe,2003,15048
Montgomery,2003,551742
Morgan,2003,14999
Morrow,2003,33524
Muskingum,2003,85418
Noble,2003,14221
Ottawa,2003,41329
Paulding,2003,19887
Perry,2003,34944
Pickaway,2003,51983
Pike,2003,28258
Portage,2003,155976
Preble,2003,42640
Putnam,2003,34758
Richland,2003,128312
Ross,2003,75008
Sandusky,2003,61784
Scioto,2003,78278
Seneca,2003,58006
Shelby,2003,48766
Stark,2003,376721
Summit,2003,545163
Trumbull,2003,220889
Tuscarawas,2003,92015
Union,2003,44665
Van Wert,2003,29288
Vinton,2003,13260
Warren,2003,181976
Washington,2003,62759
Wayne,2003,113067
Williams,2003,38753
Wood,2003,122826
Wyandot,2003,22816
Ohio,2004,NA
Adams,2004,28328
Allen,2004,106826
Ashland,2004,52852
Ashtabula,2004,102648
Athens,2004,63230
Auglaize,2004,45932
Belmont,2004,70241
Brown,2004,43995
Butler,2004,346655
Carroll,2004,29297
Champaign,2004,39565
Clark,2004,141380
Clermont,2004,187281
Clinton,2004,41557
Columbiana,2004,110627
Coshocton,2004,37421
Crawford,2004,45776
Cuyahoga,2004,1346714
Darke,2004,53236
Defiance,2004,39115
Delaware,2004,141348
Erie,2004,78596
Fairfield,2004,136074
Fayette,2004,28470
Franklin,2004,1099603
Fulton,2004,42777
Gallia,2004,31029
Geauga,2004,93218
Greene,2004,155442
Guernsey,2004,40965
Hamilton,2004,817306
Hancock,2004,73532
Hardin,2004,32119
Harrison,2004,15856
Henry,2004,29014
Highland,2004,42938
Hocking,2004,28962
Holmes,2004,41370
Huron,2004,60011
Jackson,2004,33025
Jefferson,2004,71774
Knox,2004,57995
Lake,2004,227829
Lawrence,2004,62169
Licking,2004,155264
Logan,2004,46247
Lorain,2004,292125
Lucas,2004,451255
Madison,2004,41122
Mahoning,2004,249825
Marion,2004,66361
Medina,2004,163048
Meigs,2004,23506
Mercer,2004,40889
Miami,2004,100775
Monroe,2004,15113
Montgomery,2004,549713
Morgan,2004,15130
Morrow,2004,34025
Muskingum,2004,85589
Noble,2004,14352
Ottawa,2004,41564
Paulding,2004,19803
Perry,2004,35117
Pickaway,2004,52238
Pike,2004,28427
Portage,2004,156774
Preble,2004,42613
Putnam,2004,34680
Richland,2004,128094
Ross,2004,75251
Sandusky,2004,61930
Scioto,2004,77788
Seneca,2004,57857
Shelby,2004,48791
Stark,2004,376663
Summit,2004,545037
Trumbull,2004,219540
Tuscarawas,2004,92348
Union,2004,45819
Van Wert,2004,29322
Vinton,2004,13308
Warren,2004,188904
Washington,2004,62924
Wayne,2004,113240
Williams,2004,38719
Wood,2004,124149
Wyandot,2004,22914
Ohio,2005,NA
Adams,2005,28522
Allen,2005,106861
Ashland,2005,53048
Ashtabula,2005,102638
Athens,2005,64075
Auglaize,2005,46166
Belmont,2005,70203
Brown,2005,44161
Butler,2005,350732
Carroll,2005,29118
Champaign,2005,39592
Clark,2005,141367
Clermont,2005,189486
Clinton,2005,41775
Columbiana,2005,109784
Coshocton,2005,37363
Crawford,2005,45536
Cuyahoga,2005,1330612
Darke,2005,53200
Defiance,2005,39049
Delaware,2005,149153
Erie,2005,78070
Fairfield,2005,138745
Fayette,2005,28695
Franklin,2005,1105497
Fulton,2005,42897
Gallia,2005,30993
Geauga,2005,93614
Greene,2005,156223
Guernsey,2005,40752
Hamilton,2005,810352
Hancock,2005,73585
Hardin,2005,31983
Harrison,2005,15907
Henry,2005,29031
Highland,2005,42967
Hocking,2005,29058
Holmes,2005,41630
Huron,2005,60116
Jackson,2005,33242
Jefferson,2005,71251
Knox,2005,58641
Lake,2005,227647
Lawrence,2005,62476
Licking,2005,157950
Logan,2005,46066
Lorain,2005,294873
Lucas,2005,449224
Madison,2005,41292
Mahoning,2005,247702
Marion,2005,66468
Medina,2005,164953
Meigs,2005,23588
Mercer,2005,40967
Miami,2005,101564
Monroe,2005,14943
Montgomery,2005,546979
Morgan,2005,15216
Morrow,2005,34271
Muskingum,2005,85696
Noble,2005,14210
Ottawa,2005,41629
Paulding,2005,19810
Perry,2005,35254
Pickaway,2005,52954
Pike,2005,28299
Portage,2005,157469
Preble,2005,42584
Putnam,2005,34798
Richland,2005,127724
Ross,2005,75935
Sandusky,2005,61865
Scioto,2005,77926
Seneca,2005,57664
Shelby,2005,49044
Stark,2005,376050
Summit,2005,545029
Trumbull,2005,217926
Tuscarawas,2005,92286
Union,2005,46952
Van Wert,2005,29264
Vinton,2005,13370
Warren,2005,195499
Washington,2005,62547
Wayne,2005,113603
Williams,2005,38546
Wood,2005,124698
Wyandot,2005,22820
Ohio,2006,NA
Adams,2006,28615
Allen,2006,106716
Ashland,2006,53231
Ashtabula,2006,102340
Athens,2006,64237
Auglaize,2006,46034
Belmont,2006,70469
Brown,2006,44334
Butler,2006,356691
Carroll,2006,29163
Champaign,2006,40018
Clark,2006,140668
Clermont,2006,192209
Clinton,2006,42499
Columbiana,2006,109673
Coshocton,2006,37339
Crawford,2006,44907
Cuyahoga,2006,1312816
Darke,2006,53023
Defiance,2006,39154
Delaware,2006,156164
Erie,2006,77876
Fairfield,2006,141005
Fayette,2006,28791
Franklin,2006,1115924
Fulton,2006,42785
Gallia,2006,30927
Geauga,2006,93839
Greene,2006,157850
Guernsey,2006,40600
Hamilton,2006,804913
Hancock,2006,74167
Hardin,2006,31939
Harrison,2006,15868
Henry,2006,29026
Highland,2006,43562
Hocking,2006,29097
Holmes,2006,41828
Huron,2006,60113
Jackson,2006,33135
Jefferson,2006,70656
Knox,2006,59194
Lake,2006,228203
Lawrence,2006,62798
Licking,2006,160263
Logan,2006,45902
Lorain,2006,297259
Lucas,2006,446769
Madison,2006,41865
Mahoning,2006,246112
Marion,2006,66345
Medina,2006,167298
Meigs,2006,23586
Mercer,2006,41063
Miami,2006,102028
Monroe,2006,14818
Montgomery,2006,543620
Morgan,2006,15189
Morrow,2006,34561
Muskingum,2006,86023
Noble,2006,14616
Ottawa,2006,41641
Paulding,2006,19748
Perry,2006,35430
Pickaway,2006,54094
Pike,2006,28590
Portage,2006,157773
Preble,2006,42651
Putnam,2006,34781
Richland,2006,127292
Ross,2006,76639
Sandusky,2006,61745
Scioto,2006,78285
Seneca,2006,57406
Shelby,2006,49099
Stark,2006,376180
Summit,2006,544660
Trumbull,2006,216185
Tuscarawas,2006,92271
Union,2006,48589
Van Wert,2006,29342
Vinton,2006,13516
Warren,2006,200630
Washington,2006,62387
Wayne,2006,114263
Williams,2006,38547
Wood,2006,125027
Wyandot,2006,22729
Ohio,2007,NA
Adams,2007,28538
Allen,2007,106717
Ashland,2007,53544
Ashtabula,2007,102156
Athens,2007,64102
Auglaize,2007,45977
Belmont,2007,70430
Brown,2007,44490
Butler,2007,361192
Carroll,2007,29062
Champaign,2007,40127
Clark,2007,139829
Clermont,2007,194346
Clinton,2007,42576
Columbiana,2007,109153
Coshocton,2007,37184
Crawford,2007,44634
Cuyahoga,2007,1301540
Darke,2007,52996
Defiance,2007,39123
Delaware,2007,161796
Erie,2007,77668
Fairfield,2007,142915
Fayette,2007,28908
Franklin,2007,1127174
Fulton,2007,42800
Gallia,2007,30977
Geauga,2007,93742
Greene,2007,159055
Guernsey,2007,40531
Hamilton,2007,801815
Hancock,2007,74712
Hardin,2007,32132
Harrison,2007,15901
Henry,2007,28671
Highland,2007,43845
Hocking,2007,29418
Holmes,2007,41826
Huron,2007,60086
Jackson,2007,33144
Jefferson,2007,70114
Knox,2007,59843
Lake,2007,228930
Lawrence,2007,62748
Licking,2007,162375
Logan,2007,46154
Lorain,2007,298609
Lucas,2007,445482
Madison,2007,42392
Mahoning,2007,243453
Marion,2007,66487
Medina,2007,168775
Meigs,2007,23612
Mercer,2007,41055
Miami,2007,102130
Monroe,2007,14774
Montgomery,2007,540667
Morgan,2007,15175
Morrow,2007,34937
Muskingum,2007,85939
Noble,2007,14614
Ottawa,2007,41690
Paulding,2007,19735
Perry,2007,35582
Pickaway,2007,55044
Pike,2007,28645
Portage,2007,159148
Preble,2007,42561
Putnam,2007,34752
Richland,2007,126995
Ross,2007,77419
Sandusky,2007,61571
Scioto,2007,78775
Seneca,2007,57289
Shelby,2007,49284
Stark,2007,376877
Summit,2007,544275
Trumbull,2007,214296
Tuscarawas,2007,92511
Union,2007,49906
Van Wert,2007,29182
Vinton,2007,13566
Warren,2007,205258
Washington,2007,62253
Wayne,2007,114224
Williams,2007,38532
Wood,2007,125285
Wyandot,2007,22716
Ohio,2008,NA
Adams,2008,28686
Allen,2008,106773
Ashland,2008,53499
Ashtabula,2008,101826
Athens,2008,64546
Auglaize,2008,46167
Belmont,2008,70356
Brown,2008,44668
Butler,2008,364179
Carroll,2008,28999
Champaign,2008,40263
Clark,2008,139404
Clermont,2008,195891
Clinton,2008,42656
Columbiana,2008,108469
Coshocton,2008,36953
Crawford,2008,44291
Cuyahoga,2008,1291479
Darke,2008,52909
Defiance,2008,39250
Delaware,2008,166652
Erie,2008,77573
Fairfield,2008,144029
Fayette,2008,28896
Franklin,2008,1141183
Fulton,2008,42780
Gallia,2008,30997
Geauga,2008,93583
Greene,2008,160115
Guernsey,2008,40347
Hamilton,2008,799840
Hancock,2008,74781
Hardin,2008,32200
Harrison,2008,15856
Henry,2008,28523
Highland,2008,43700
Hocking,2008,29445
Holmes,2008,42029
Huron,2008,60121
Jackson,2008,33164
Jefferson,2008,69989
Knox,2008,60348
Lake,2008,229904
Lawrence,2008,62640
Licking,2008,163916
Logan,2008,46115
Lorain,2008,299814
Lucas,2008,443909
Madison,2008,43163
Mahoning,2008,241572
Marion,2008,66840
Medina,2008,170330
Meigs,2008,23534
Mercer,2008,41022
Miami,2008,102430
Monroe,2008,14833
Montgomery,2008,537664
Morgan,2008,15104
Morrow,2008,34877
Muskingum,2008,85874
Noble,2008,14653
Ottawa,2008,41554
Paulding,2008,19670
Perry,2008,36150
Pickaway,2008,55376
Pike,2008,28763
Portage,2008,160184
Preble,2008,42688
Putnam,2008,34655
Richland,2008,126128
Ross,2008,77675
Sandusky,2008,61184
Scioto,2008,79133
Seneca,2008,57199
Shelby,2008,49454
Stark,2008,377141
Summit,2008,543116
Trumbull,2008,212191
Tuscarawas,2008,92634
Union,2008,50856
Van Wert,2008,29075
Vinton,2008,13452
Warren,2008,208640
Washington,2008,62040
Wayne,2008,114610
Williams,2008,38297
Wood,2008,125275
Wyandot,2008,22642
Ohio,2009,NA
Adams,2009,28500
Allen,2009,106518
Ashland,2009,53305
Ashtabula,2009,101584
Athens,2009,64618
Auglaize,2009,45996
Belmont,2009,70439
Brown,2009,44740
Butler,2009,366633
Carroll,2009,28917
Champaign,2009,40265
Clark,2009,138778
Clermont,2009,196512
Clinton,2009,42418
Columbiana,2009,107948
Coshocton,2009,36878
Crawford,2009,43921
Cuyahoga,2009,1285082
Darke,2009,52829
Defiance,2009,39060
Delaware,2009,170676
Erie,2009,77085
Fairfield,2009,145446
Fayette,2009,28929
Franklin,2009,1155408
Fulton,2009,42747
Gallia,2009,30857
Geauga,2009,93446
Greene,2009,161075
Guernsey,2009,40242
Hamilton,2009,802149
Hancock,2009,74964
Hardin,2009,32185
Harrison,2009,15860
Henry,2009,28322
Highland,2009,43578
Hocking,2009,29358
Holmes,2009,42275
Huron,2009,59754
Jackson,2009,33115
Jefferson,2009,69833
Knox,2009,60633
Lake,2009,229954
Lawrence,2009,62667
Licking,2009,165283
Logan,2009,46055
Lorain,2009,300893
Lucas,2009,442603
Madison,2009,43353
Mahoning,2009,240050
Marion,2009,66497
Medina,2009,171688
Meigs,2009,23770
Mercer,2009,40855
Miami,2009,102526
Monroe,2009,14742
Montgomery,2009,535294
Morgan,2009,15073
Morrow,2009,34907
Muskingum,2009,85779
Noble,2009,14649
Ottawa,2009,41498
Paulding,2009,19659
Perry,2009,35996
Pickaway,2009,55323
Pike,2009,28679
Portage,2009,161226
Preble,2009,42424
Putnam,2009,34583
Richland,2009,125308
Ross,2009,77862
Sandusky,2009,61039
Scioto,2009,79241
Seneca,2009,56897
Shelby,2009,49540
Stark,2009,376210
Summit,2009,542135
Trumbull,2009,211290
Tuscarawas,2009,92584
Union,2009,51798
Van Wert,2009,28849
Vinton,2009,13474
Warren,2009,211231
Washington,2009,61968
Wayne,2009,114588
Williams,2009,37950
Wood,2009,125384
Wyandot,2009,22644
Ohio,2010,NA
Adams,2010,28550
Allen,2010,106331
Ashland,2010,53139
Ashtabula,2010,101497
Athens,2010,64757
Auglaize,2010,45949
Belmont,2010,70400
Brown,2010,44846
Butler,2010,368130
Carroll,2010,28836
Champaign,2010,40097
Clark,2010,138333
Clermont,2010,197363
Clinton,2010,42040
Columbiana,2010,107841
Coshocton,2010,36901
Crawford,2010,43784
Cuyahoga,2010,1280122
Darke,2010,52959
Defiance,2010,39037
Delaware,2010,174214
Erie,2010,77079
Fairfield,2010,146156
Fayette,2010,29030
Franklin,2010,1163414
Fulton,2010,42698
Gallia,2010,30934
Geauga,2010,93389
Greene,2010,161573
Guernsey,2010,40087
Hamilton,2010,802374
Hancock,2010,74782
Hardin,2010,32058
Harrison,2010,15864
Henry,2010,28215
Highland,2010,43589
Hocking,2010,29380
Holmes,2010,42366
Huron,2010,59626
Jackson,2010,33225
Jefferson,2010,69709
Knox,2010,60921
Lake,2010,230041
Lawrence,2010,62450
Licking,2010,166492
Logan,2010,45858
Lorain,2010,301356
Lucas,2010,441815
Madison,2010,43435
Mahoning,2010,238823
Marion,2010,66501
Medina,2010,172332
Meigs,2010,23770
Mercer,2010,40814
Miami,2010,102506
Monroe,2010,14642
Montgomery,2010,535153
Morgan,2010,15054
Morrow,2010,34827
Muskingum,2010,86074
Noble,2010,14645
Ottawa,2010,41428
Paulding,2010,19614
Perry,2010,36058
Pickaway,2010,55698
Pike,2010,28709
Portage,2010,161419
Preble,2010,42270
Putnam,2010,34499
Richland,2010,124475
Ross,2010,78064
Sandusky,2010,60944
Scioto,2010,79499
Seneca,2010,56745
Shelby,2010,49423
Stark,2010,375586
Summit,2010,541781
Trumbull,2010,210312
Tuscarawas,2010,92582
Union,2010,52300
Van Wert,2010,28744
Vinton,2010,13435
Warren,2010,212693
Washington,2010,61778
Wayne,2010,114520
Williams,2010,37642
Wood,2010,125488
Wyandot,2010,22615
